iter	Logloss
0	0.6597556676
1	0.6303141699
2	0.6073655002
3	0.5861275649
4	0.5704084716
5	0.5562276485
6	0.5452211786
7	0.5351376367
8	0.5259793513
9	0.5204025807
10	0.5137436197
11	0.5081622932
12	0.5019986058
13	0.4963559815
14	0.4926587457
15	0.4889731312
16	0.4854512701
17	0.4823767692
18	0.4796192307
19	0.4765103561
20	0.4738949295
21	0.4720282863
22	0.4692907479
23	0.4671622455
24	0.4652998227
25	0.4630447097
26	0.4616475097
27	0.4606435147
28	0.4592686712
29	0.4572991509
30	0.455839151
31	0.4547454715
32	0.4529157381
33	0.4517497489
34	0.4502773289
35	0.4488128968
36	0.4478436269
37	0.446692888
38	0.4454820243
39	0.4442819298
40	0.4433010366
41	0.4422606258
42	0.4414830408
43	0.4400658063
44	0.438990785
45	0.4382391341
46	0.4373289679
47	0.4366151652
48	0.4357944525
49	0.434763372
50	0.4340761236
51	0.4333086611
52	0.432184407
53	0.4314893144
54	0.4308283153
55	0.4299890329
56	0.4291855065
57	0.428609472
58	0.4278996186
59	0.4274029702
60	0.426417313
61	0.4256701195
62	0.4248839196
63	0.4241952677
64	0.4233612447
65	0.4227144969
66	0.4222332445
67	0.4216593569
68	0.4207250324
69	0.420236232
70	0.419824239
71	0.4191838688
72	0.4185741293
73	0.417753994
74	0.4171067281
75	0.4165621405
76	0.4160480282
77	0.4150740228
78	0.414504626
79	0.4140120792
80	0.4133488724
81	0.4129071671
82	0.4123874753
83	0.4116142485
84	0.4111325051
85	0.4108286469
86	0.410029023
87	0.4092595766
88	0.4085589421
89	0.4080092494
90	0.4070771688
91	0.4065404311
92	0.4059288585
93	0.4055571113
94	0.4045237501
95	0.4039499395
96	0.4035277822
97	0.4024243756
98	0.4018857524
99	0.4012788101
100	0.4008264428
101	0.4002071093
102	0.3998997579
103	0.3992423358
104	0.3989347309
105	0.3984232552
106	0.3980694231
107	0.3976342684
108	0.3969475629
109	0.396187448
110	0.3958493404
111	0.3953605457
112	0.3950529568
113	0.3943901757
114	0.3940228496
115	0.3932035419
116	0.3928754963
117	0.3923796608
118	0.3918946536
119	0.3914477391
120	0.3907425851
121	0.390291382
122	0.389626438
123	0.3892027904
124	0.3889473237
125	0.3887786771
126	0.3883371758
127	0.3880539811
128	0.3876919137
129	0.3873615289
130	0.386718036
131	0.3860477116
132	0.3854128699
133	0.3847963927
134	0.3841708413
135	0.3836042841
136	0.3833001139
137	0.382971546
138	0.3823009737
139	0.3818775206
140	0.3813586399
141	0.3809918009
142	0.3801379074
143	0.3794409822
144	0.378737024
145	0.3780043515
146	0.3775853747
147	0.3769447762
148	0.376478674
149	0.3762118752
