iter	Passed	Remaining
0	1	1312
1	2	1177
2	3	1026
3	3	917
4	4	858
5	4	826
6	5	795
7	6	764
8	6	744
9	7	751
10	8	737
11	9	763
12	9	758
13	10	755
14	11	758
15	12	777
16	13	784
17	14	811
18	16	829
19	17	836
20	18	852
21	19	863
22	20	860
23	20	852
24	21	847
25	22	842
26	23	834
27	23	828
28	24	825
29	25	823
30	26	819
31	26	814
32	27	815
33	28	810
34	29	805
35	29	802
36	30	797
37	31	795
38	32	793
39	33	793
40	33	791
41	34	791
42	35	790
43	36	789
44	37	791
45	38	792
46	39	796
47	40	797
48	41	796
49	41	796
50	42	794
51	43	793
52	44	790
53	45	795
54	46	793
55	46	792
56	47	792
57	48	789
58	49	788
59	50	785
60	50	782
61	51	778
62	52	775
63	52	773
64	53	771
65	54	768
66	54	765
67	55	761
68	56	757
69	56	754
70	57	750
71	58	747
72	58	744
73	59	741
74	59	738
75	60	734
76	61	731
77	62	737
78	63	734
79	63	732
80	64	729
81	65	729
82	66	730
83	66	729
84	67	728
85	68	727
86	69	726
87	69	724
88	71	730
89	72	735
90	73	737
91	74	735
92	75	733
93	75	730
94	76	728
95	77	726
96	78	727
97	78	726
98	79	724
99	80	723
100	81	721
101	81	719
102	82	718
103	83	715
104	83	713
105	84	711
106	85	709
107	85	707
108	86	706
109	87	705
110	88	705
111	88	704
112	89	702
113	90	700
114	90	698
115	91	696
116	92	696
117	92	694
118	93	693
119	94	692
120	95	691
121	96	691
122	96	690
123	97	687
124	98	688
125	98	686
126	99	684
127	100	682
128	100	680
129	101	678
130	102	676
131	102	674
132	103	672
133	103	670
134	104	668
135	105	667
136	105	665
137	106	663
138	106	662
139	107	660
140	108	658
141	108	656
142	109	656
143	110	656
144	111	655
145	111	653
146	112	652
147	113	651
148	113	649
149	114	649
150	115	648
151	116	649
152	117	649
153	118	648
154	118	647
155	119	645
156	120	644
157	120	643
158	121	642
159	122	642
160	122	640
161	123	639
162	124	638
163	124	636
164	125	635
165	126	634
166	127	633
167	127	632
168	128	630
169	128	629
170	129	628
171	130	626
172	130	625
173	131	624
174	132	623
175	132	622
176	133	621
177	134	620
178	134	618
179	135	617
180	136	616
181	136	615
182	137	614
183	138	613
184	139	612
185	139	611
186	140	610
187	141	609
188	141	608
189	142	607
190	143	606
191	144	606
192	145	606
193	145	605
194	146	604
195	147	603
196	147	602
197	148	601
198	149	600
199	149	599
200	150	597
201	151	597
202	151	595
203	152	594
204	153	593
205	154	594
206	154	592
207	155	591
208	156	590
209	156	589
210	157	588
211	158	587
212	158	586
213	159	585
214	160	584
215	160	582
216	161	581
217	161	581
218	162	580
219	163	580
220	164	578
221	164	577
222	165	576
223	166	576
224	167	575
225	167	574
226	168	573
227	169	572
228	169	571
229	170	571
230	171	570
231	172	569
232	172	569
233	173	568
234	174	567
235	174	566
236	175	565
237	176	564
238	176	563
239	177	562
240	178	561
241	178	560
242	179	559
243	180	558
244	180	557
245	181	556
246	182	555
247	182	554
248	183	553
249	184	552
250	184	551
251	185	549
252	185	548
253	186	547
254	187	546
255	187	545
256	188	544
257	189	546
258	190	545
259	191	544
260	191	543
261	192	542
262	192	540
263	193	539
264	194	538
265	194	537
266	195	536
267	196	535
268	196	534
269	197	534
270	198	533
271	198	532
272	199	531
273	200	530
274	201	530
275	201	528
276	202	528
277	203	528
278	204	527
279	204	526
280	205	525
281	206	525
282	207	524
283	207	523
284	208	523
285	209	522
286	210	522
287	210	521
288	211	520
289	212	519
290	212	518
291	213	517
292	214	516
293	214	516
294	215	515
295	216	514
296	217	513
297	217	513
298	218	512
299	219	511
300	220	511
301	221	510
302	221	510
303	222	509
304	223	508
305	223	507
306	224	506
307	224	505
308	225	504
309	226	503
310	226	502
311	227	501
312	228	500
313	228	499
314	229	499
315	230	498
316	230	497
317	231	496
318	232	495
319	232	495
320	233	494
321	234	493
322	235	492
323	235	491
324	236	490
325	236	489
326	237	489
327	238	488
328	239	487
329	240	487
330	240	487
331	241	486
332	242	485
333	243	485
334	244	485
335	245	485
336	246	484
337	247	484
338	248	484
339	249	483
340	249	482
341	250	482
342	251	481
343	252	480
344	252	480
345	253	479
346	254	478
347	255	478
348	256	477
349	256	477
350	257	476
351	258	475
352	259	474
353	259	474
354	260	473
355	261	473
356	262	472
357	263	472
358	263	471
359	264	470
360	265	469
361	266	469
362	266	468
363	267	467
364	268	467
365	269	466
366	270	466
367	271	465
368	272	465
369	273	465
370	274	464
371	274	464
372	275	463
373	276	462
374	277	462
375	278	461
376	278	460
377	279	460
378	280	459
379	280	458
380	281	457
381	282	456
382	282	455
383	283	454
384	284	453
385	284	453
386	285	452
387	286	451
388	286	450
389	287	449
390	287	448
391	288	447
392	289	446
393	289	445
394	290	444
395	290	443
396	291	442
397	292	441
398	292	441
399	293	440
400	294	439
401	295	439
402	295	438
403	296	437
404	297	436
405	297	435
406	298	435
407	299	434
408	300	434
409	301	433
410	302	433
411	303	432
412	303	431
413	304	431
414	305	431
415	307	431
416	308	431
417	309	430
418	311	431
419	312	431
420	313	430
421	314	430
422	314	429
423	315	428
424	316	428
425	317	427
426	318	426
427	318	426
428	319	425
429	320	424
430	320	423
431	321	422
432	322	422
433	322	421
434	323	420
435	324	419
436	324	418
437	325	417
438	326	417
439	327	416
440	327	415
441	328	414
442	329	413
443	329	413
444	330	412
445	331	411
446	332	411
447	332	410
448	333	409
449	334	408
450	335	407
451	335	406
452	336	406
453	337	405
454	337	404
455	338	403
456	338	402
457	339	401
458	340	401
459	340	400
460	341	399
461	342	398
462	343	397
463	343	397
464	344	396
465	345	395
466	346	394
467	347	394
468	347	393
469	348	392
470	349	392
471	349	391
472	350	390
473	351	389
474	351	389
475	352	388
476	353	387
477	353	386
478	354	385
479	355	384
480	356	384
481	356	383
482	357	382
483	358	381
484	358	381
485	359	380
486	360	379
487	361	378
488	361	378
489	362	377
490	363	376
491	363	375
492	364	375
493	365	374
494	365	373
495	366	372
496	367	371
497	367	370
498	368	370
499	369	369
500	369	368
501	370	367
502	371	366
503	372	366
504	372	365
505	373	364
506	373	363
507	374	362
508	375	361
509	376	361
510	376	360
511	377	359
512	378	358
513	378	358
514	379	357
515	380	356
516	380	355
517	381	354
518	382	354
519	382	353
520	383	352
521	384	351
522	384	350
523	385	350
524	386	349
525	386	348
526	387	347
527	388	347
528	388	346
529	389	345
530	390	344
531	390	343
532	391	342
533	392	342
534	392	341
535	393	340
536	394	339
537	394	339
538	395	338
539	396	337
540	396	336
541	397	335
542	398	335
543	399	334
544	399	333
545	400	333
546	401	332
547	401	331
548	402	330
549	403	329
550	405	330
551	406	329
552	407	329
553	408	329
554	410	328
555	411	328
556	412	328
557	414	328
558	416	328
559	417	327
560	417	326
561	418	326
562	420	326
563	422	326
564	424	326
565	425	326
566	426	325
567	427	324
568	428	324
569	429	323
570	430	323
571	431	322
572	432	322
573	434	322
574	436	322
575	437	322
576	438	321
577	439	320
578	440	320
579	441	319
580	441	318
581	442	317
582	443	317
583	444	316
584	444	315
585	445	314
586	446	314
587	446	313
588	447	312
589	448	311
590	449	310
591	449	309
592	450	309
593	451	308
594	451	307
595	452	306
596	453	305
597	453	305
598	454	304
599	455	303
600	455	302
601	456	302
602	457	301
603	458	300
604	460	300
605	461	300
606	463	300
607	465	300
608	467	299
609	469	299
610	469	299
611	472	299
612	474	299
613	475	298
614	477	299
615	478	298
616	480	298
617	481	297
618	483	297
619	484	296
620	486	297
621	488	296
622	489	296
623	491	295
624	494	296
625	495	296
626	496	295
627	497	294
628	498	294
629	499	293
630	500	292
631	501	292
632	502	291
633	503	290
634	504	289
635	505	289
636	506	288
637	506	287
638	507	286
639	508	285
640	509	285
641	509	284
642	510	283
643	511	282
644	512	282
645	514	281
646	515	281
647	516	280
648	517	279
649	518	279
650	520	278
651	520	277
652	521	277
653	522	276
654	523	275
655	523	274
656	524	273
657	525	273
658	526	272
659	526	271
660	527	270
661	528	269
662	529	269
663	529	268
664	530	267
665	531	266
666	531	265
667	532	264
668	533	263
669	533	262
670	534	262
671	535	261
672	535	260
673	536	259
674	537	258
675	537	257
676	538	256
677	539	256
678	539	255
679	540	254
680	541	253
681	542	252
682	542	251
683	543	251
684	544	250
685	544	249
686	545	248
687	545	247
688	546	246
689	547	245
690	548	245
691	548	244
692	549	243
693	550	242
694	550	241
695	551	240
696	552	239
697	552	239
698	553	238
699	554	237
700	554	236
701	555	235
702	556	234
703	556	234
704	557	233
705	558	232
706	558	231
707	559	230
708	560	229
709	560	229
710	561	228
711	562	227
712	562	226
713	563	225
714	563	224
715	564	223
716	565	223
717	565	222
718	566	221
719	567	220
720	567	219
721	568	218
722	568	217
723	569	217
724	570	216
725	570	215
726	571	214
727	572	213
728	572	212
729	573	212
730	574	211
731	575	210
732	575	209
733	576	208
734	577	208
735	577	207
736	578	206
737	579	205
738	579	204
739	580	203
740	580	203
741	581	202
742	582	201
